Test,Session,LapNumber,Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Position,LapTimeSec,Sector1TimeSec,Sector2TimeSec,Sector3TimeSec
2,1,3.0,BOR,Audi,0 days 00:02:05.195000,0 days 00:00:41.612000,0 days 00:00:54.616000,0 days 00:00:28.967000,148.0,220.0,293.0,211.0,HARD,11.0,False,,125.195,41.612,54.616,28.967
2,1,4.0,BOR,Audi,0 days 00:01:43.678000,0 days 00:00:31.167000,0 days 00:00:43.323000,0 days 00:00:29.188000,218.0,246.0,,311.0,HARD,12.0,False,,103.678,31.167,43.323,29.188
2,1,5.0,BOR,Audi,0 days 00:02:28.226000,0 days 00:01:10.636000,0 days 00:00:50.713000,0 days 00:00:26.877000,183.0,232.0,293.0,114.0,HARD,9.0,False,,148.226,70.636,50.713,26.877
2,1,6.0,BOR,Audi,,0 days 00:00:31.099000,0 days 00:00:44.863000,,218.0,233.0,,313.0,HARD,10.0,False,,,31.099,44.863,
2,1,7.0,BOR,Audi,,,0 days 00:00:46.452000,0 days 00:00:28.498000,220.0,228.0,283.0,133.0,HARD,1.0,True,,,,46.452,28.498
2,1,8.0,BOR,Audi,0 days 00:01:36.448000,0 days 00:00:30.480000,0 days 00:00:42.283000,0 days 00:00:23.685000,220.0,248.0,304.0,322.0,HARD,2.0,True,,96.448,30.48,42.283,23.685
2,1,9.0,BOR,Audi,0 days 00:02:23.236000,0 days 00:00:43.784000,0 days 00:01:09.065000,0 days 00:00:30.387000,131.0,198.0,290.0,244.0,HARD,3.0,True,,143.236,43.784,69.065,30.387
2,1,10.0,BOR,Audi,0 days 00:01:36.602000,0 days 00:00:30.621000,0 days 00:00:42.225000,0 days 00:00:23.756000,221.0,248.0,304.0,319.0,HARD,4.0,True,,96.602,30.621,42.225,23.756
2,1,11.0,BOR,Audi,0 days 00:01:58.197000,0 days 00:00:37.146000,0 days 00:00:50.247000,0 days 00:00:30.804000,135.0,221.0,,200.0,HARD,5.0,True,,118.197,37.146,50.247,30.804
2,1,12.0,BOR,Audi,,0 days 00:01:33.556000,0 days 00:00:44.206000,0 days 00:00:24.247000,217.0,239.0,301.0,174.0,HARD,7.0,False,,,93.556,44.206,24.247
2,1,13.0,BOR,Audi,0 days 00:01:38.670000,0 days 00:00:31.382000,0 days 00:00:43.316000,0 days 00:00:23.972000,218.0,238.0,302.0,298.0,HARD,8.0,False,,98.67,31.382,43.316,23.972
